,Date,Open
21910,2015-03-30,2064.110107
21914,2015-04-06,2064.870117
21919,2015-04-13,2102.030029
21924,2015-04-20,2084.110107
21929,2015-04-27,2119.290039
21934,2015-05-04,2110.22998
21939,2015-05-11,2115.560059
21944,2015-05-18,2121.300049
21953,2015-06-01,2108.639893
21958,2015-06-08,2092.340088
21963,2015-06-15,2091.340088
21968,2015-06-22,2112.5
21973,2015-06-29,2098.629883
21977,2015-07-06,2073.949951
21982,2015-07-13,2080.030029
21987,2015-07-20,2126.850098
21997,2015-08-03,2104.48999
22002,2015-08-10,2080.97998
22007,2015-08-17,2089.699951
22012,2015-08-24,1965.150024
22017,2015-08-31,1986.72998
22026,2015-09-14,1963.060059
22031,2015-09-21,1960.839966
22036,2015-09-28,1929.180054
22041,2015-10-05,1954.329956
22046,2015-10-12,2015.650024
22051,2015-10-19,2031.72998
22056,2015-10-26,2075.080078
22061,2015-11-02,2080.76001
22066,2015-11-09,2096.560059
22071,2015-11-16,2022.079956
22076,2015-11-23,2089.409912
22080,2015-11-30,2090.949951
22085,2015-12-07,2090.419922
22090,2015-12-14,2013.369995
22095,2015-12-21,2010.27002
22099,2015-12-28,2057.77002
22103,2016-01-04,2038.199951
22108,2016-01-11,1926.119995
22117,2016-01-25,1906.280029
22122,2016-02-01,1936.939941
22127,2016-02-08,1873.25
22136,2016-02-22,1924.439941
22141,2016-02-29,1947.130005
22146,2016-03-07,1996.109985
22151,2016-03-14,2019.27002
22156,2016-03-21,2047.880005
22160,2016-03-28,2037.890015
22165,2016-04-04,2073.189941
22170,2016-04-11,2050.22998
22175,2016-04-18,2078.830078
22180,2016-04-25,2089.370117
22185,2016-05-02,2067.169922
22190,2016-05-09,2057.550049
22195,2016-05-16,2046.530029
22200,2016-05-23,2052.22998
22209,2016-06-06,2100.830078
22214,2016-06-13,2091.75
22219,2016-06-20,2075.580078
22224,2016-06-27,2031.449951
22233,2016-07-11,2131.719971
22238,2016-07-18,2162.040039
22243,2016-07-25,2173.709961
22248,2016-08-01,2173.149902
22253,2016-08-08,2183.76001
22258,2016-08-15,2186.080078
22263,2016-08-22,2181.580078
22268,2016-08-29,2170.189941
22277,2016-09-12,2120.860107
22282,2016-09-19,2143.98999
22287,2016-09-26,2158.540039
22292,2016-10-03,2164.330078
22297,2016-10-10,2160.389893
22302,2016-10-17,2132.949951
22307,2016-10-24,2148.5
22312,2016-10-31,2129.780029
22317,2016-11-07,2100.590088
22322,2016-11-14,2165.639893
22327,2016-11-21,2186.429932
22331,2016-11-28,2210.209961
22336,2016-12-05,2200.649902
22341,2016-12-12,2258.830078
22346,2016-12-19,2259.23999
22359,2017-01-09,2273.590088
22368,2017-01-23,2267.780029
22373,2017-01-30,2286.01001
22378,2017-02-06,2294.280029
22383,2017-02-13,2321.719971
22392,2017-02-27,2365.22998
22397,2017-03-06,2375.22998
22402,2017-03-13,2371.560059
22407,2017-03-20,2378.23999
22412,2017-03-27,2329.110107
22417,2017-04-03,2362.340088
22422,2017-04-10,2357.159912
22426,2017-04-17,2332.620117
22431,2017-04-24,2370.330078
22436,2017-05-01,2388.5
22441,2017-05-08,2399.939941
22446,2017-05-15,2393.97998
22451,2017-05-22,2387.209961
22460,2017-06-05,2437.830078
22465,2017-06-12,2425.879883
22470,2017-06-19,2442.550049
22475,2017-06-26,2443.320068
22480,2017-07-03,2431.389893
22484,2017-07-10,2424.51001
22489,2017-07-17,2459.5
22494,2017-07-24,2472.040039
22499,2017-07-31,2475.939941
22504,2017-08-07,2477.139893
22509,2017-08-14,2454.959961
22514,2017-08-21,2425.5
22519,2017-08-28,2447.350098
22528,2017-09-11,2474.52002
22533,2017-09-18,2502.51001
22538,2017-09-25,2499.389893
22543,2017-10-02,2521.199951
22548,2017-10-09,2551.389893
22553,2017-10-16,2555.570068
22558,2017-10-23,2578.080078
22563,2017-10-30,2577.75
22568,2017-11-06,2587.469971
22573,2017-11-13,2576.530029
22578,2017-11-20,2579.48999
22582,2017-11-27,2602.659912
22587,2017-12-04,2657.189941
22592,2017-12-11,2652.189941
22597,2017-12-18,2685.919922
22610,2018-01-08,2742.669922
22619,2018-01-22,2809.159912
22624,2018-01-29,2867.22998
22629,2018-02-05,2741.060059
22634,2018-02-12,2636.75
22643,2018-02-26,2757.370117
22653,2018-03-12,2790.540039
22658,2018-03-19,2741.379883
22663,2018-03-26,2619.350098
22667,2018-04-02,2633.449951
22672,2018-04-09,2617.179932
22677,2018-04-16,2670.100098
22682,2018-04-23,2675.399902
22687,2018-04-30,2682.51001
22692,2018-05-07,2680.340088
22697,2018-05-14,2738.469971
22702,2018-05-21,2735.389893
22711,2018-06-04,2741.669922
22715,2018-06-08,2765.840088
22716,2018-06-11,2780.179932
